property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
flat,sobha smriti apartments,sector 56,0.5,8333.0,1,1,2,3.0,Old Property,667.0,0,0,0,0,0,1,0
house,ansal sushant lok plots,sector 43,11.5,12778.0,7,8,3+,3.0,Old Property,9000.0,0,1,1,1,0,0,31
flat,ss the leaf,sector 85,1.2,10084.0,2,2,2,4.0,Relatively New,1190.0,0,1,0,1,0,1,81
flat,dlf regency park,sector 28,2.35,13225.0,3,4,3,8.0,Old Property,1700.0,0,0,0,1,0,0,109
flat,dlf the primus,sector 82a,2.2,10516.0,3,3,3+,16.0,Relatively New,1893.0,0,0,0,1,0,2,174
flat,puri diplomatic greens,sector 111,3.9,13000.0,4,5,3+,6.0,Relatively New,2996.0,0,0,0,1,0,2,160
flat,experion the heartsong,sector 108,0.98,10018.0,2,3,3,4.0,Relatively New,978.23,0,0,0,0,1,1,135
flat,sare homes,sector 92,1.19,5219.0,4,3,3,14.0,Relatively New,2533.0,0,0,0,1,0,0,100
flat,indiabulls centrum park,sector 103,2.45,8522.0,4,4,3,11.0,Relatively New,2601.0,0,1,1,1,1,1,38
flat,signature global city d ph,sector 37d,1.36,8848.0,3,3,3,1.0,Relatively New,1535.0,1,0,1,0,0,1,37
flat,ace palm floors,sector 89,0.97,7861.0,2,2,2,1.0,New Property,1371.0,0,0,0,0,1,1,28
flat,la vida by tata housing,sector 113,2.45,11051.0,3,3,3+,3.0,Relatively New,1890.0,0,0,0,0,1,1,174
flat,adani aangan galleria,sector 89,0.25,5000.0,1,1,1,6.0,New Property,430.0,0,0,0,0,0,0,74
house,independent,sector 14,3.5,18064.0,6,4,2,2.0,Old Property,1937.502,1,0,0,0,0,0,27
flat,pareena mi casa,sector 68,0.92,7390.0,2,2,3,5.0,Under Construction,1126.0,1,0,0,0,0,0,50
flat,dlf regency park,sector 28,1.35,11989.0,2,2,2,1.0,Moderately Old,1109.0,0,0,0,0,0,1,0
house,independent,sector 17b,7.2,15926.0,4,4,2,1.0,Old Property,3780.0,0,1,0,1,0,0,0
flat,experion windchants,sector 112,6.5,10417.0,4,5,3,11.0,Relatively New,4800.0,0,0,0,0,0,1,55
flat,mapsko mount ville,sector 79,1.1,12731.0,3,3,3,22.0,Relatively New,1154.0,0,0,1,0,1,0,135
flat,sanskriti apartment,sector 10a,1.1,6667.0,3,3,3,2.0,Moderately Old,1833.0,0,0,0,0,0,1,22
flat,umang winter hills,sector 77,1.1,5296.0,3,4,3+,9.0,Relatively New,1828.0,0,0,0,1,0,1,49
flat,sahara grace,sector 28,4.3,12421.0,3,4,3,5.0,Old Property,3132.0,0,1,0,1,0,1,24
flat,signature global park,sohna road,0.53,6386.0,2,2,2,2.0,Relatively New,913.0,0,0,1,0,0,1,168
flat,raheja sampada,sector 92,0.7,4453.0,3,3,0,7.0,Relatively New,1572.0,0,0,0,0,0,0,0
flat,supertech basera,sector 79,0.36,7643.0,2,2,1,4.0,New Property,546.0,0,0,0,0,0,0,60
house,independent,sector 28,9.0,27778.0,6,7,3+,3.0,Moderately Old,3240.0,0,1,1,1,1,0,67
house,independent,sector 17,0.32,5717.0,5,1,0,1.0,Moderately Old,565.0,0,0,0,0,0,0,0
house,unitech aspen greens,sector 50,6.95,32123.0,3,3,1,2.0,Moderately Old,2160.0,0,0,0,1,0,1,160
flat,dlf the primus,sector 82a,1.85,10176.0,3,3,3,15.0,Moderately Old,1677.0,1,0,0,0,0,0,38
flat,raheja vedaanta,sector 108,0.65,4762.0,2,2,2,5.0,Relatively New,1235.0,0,0,1,0,0,0,174
house,independent,sector 26,17.0,37604.0,5,5,3+,2.0,Relatively New,4518.0,0,1,1,1,1,0,124
flat,the lions cghs,sector 56,2.05,9535.0,4,4,3,7.0,Relatively New,2000.0,1,0,0,1,0,0,49
flat,green court,sector 90,0.45,7188.0,2,2,1,2.0,New Property,696.0,0,0,0,0,0,0,42
flat,dlf the primus,sector 82a,3.5,13431.0,5,5,3+,14.0,Relatively New,2896.0,0,0,0,0,1,2,49
flat,pareena coban residences,sector 99a,1.05,6774.0,2,2,3,2.0,Relatively New,1390.0,0,0,0,0,1,1,49
flat,mapsko mount ville,sector 79,1.5,8264.0,3,4,3+,11.0,Relatively New,1416.0,0,0,0,1,0,0,144
flat,pareena coban residences,sector 99a,1.38,6419.0,4,5,3+,1.0,Relatively New,2150.0,1,0,0,1,0,1,49
flat,ss the leaf,sector 85,1.2,10453.0,2,2,3+,2.0,Relatively New,1380.0,0,1,0,0,0,1,156
flat,ats tourmaline,sector 109,2.95,9365.0,4,5,3+,10.0,Relatively New,2850.0,0,0,0,1,0,1,101
