property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
flat,sobha smriti apartments,sector 56,0.5,8333.0,600.0,Carpet area: 600 (55.74 sq.m.),1,1,2,3.0,not available,Undefined,,,600.0,0,0,0,0,0,1,0
house,ansal sushant lok plots,sector 43,11.5,12778.0,9000.0,Plot area 3762(349.5 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6500 sq.ft. (603.87 sq.m.),7,8,3+,3.0,not available,Old Property,,9000.0,6500.0,0,1,1,1,0,0,31
flat,ss the leaf,sector 85,1.2,10084.0,1190.0,Super Built up area 1671(155.24 sq.m.)Built Up area: 1190 sq.ft. (110.55 sq.m.)Carpet area: 970 sq.ft. (90.12 sq.m.),2,2,2,4.0,East,Relatively New,1671.0,1190.0,970.0,0,1,0,1,0,1,81
flat,dlf regency park,sector 28,2.35,13225.0,1777.0,Super Built up area 1777(165.09 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3,8.0,South-East,Old Property,1777.0,1700.0,1600.0,0,0,0,1,0,0,109
flat,dlf the primus,sector 82a,2.2,10516.0,2092.0,Super Built up area 2092(194.35 sq.m.),3,3,3+,16.0,North-East,Relatively New,2092.0,,,0,0,0,1,0,2,174
flat,puri diplomatic greens,sector 111,3.9,13000.0,3000.0,Super Built up area 3000(278.71 sq.m.)Carpet area: 2950 sq.ft. (274.06 sq.m.),4,5,3+,6.0,North-East,Relatively New,3000.0,,2950.0,0,0,0,1,0,2,160
flat,experion the heartsong,sector 108,0.98,10018.0,978.23,Super Built up area 1283(119.19 sq.m.)Built Up area: 978.23 sq.ft. (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,4.0,East,Relatively New,1283.0,978.23,734.43,0,0,0,0,1,1,135
flat,sare homes,sector 92,1.19,5219.0,2280.0,Carpet area: 2280 (211.82 sq.m.),4,3,3,14.0,North,Relatively New,,,2280.0,0,0,0,1,0,0,100
flat,indiabulls centrum park,sector 103,2.45,8522.0,2875.0,Super Built up area 2875(267.1 sq.m.),4,4,3,11.0,East,Relatively New,2875.0,,,0,1,1,1,1,1,38
flat,signature global city d ph,sector 37d,1.36,8848.0,1537.0,Built Up area: 1535 (142.61 sq.m.),3,3,3,1.0,North-East,Undefined,,1535.0,,1,0,1,0,0,1,37
flat,ace palm floors,sector 89,0.97,7861.0,1234.0,Carpet area: 1234 (114.64 sq.m.),2,2,2,1.0,not available,New Property,,,1234.0,0,0,0,0,1,1,28
flat,la vida by tata housing,sector 113,2.45,11051.0,2217.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 1890 sq.ft. (175.59 sq.m.)Carpet area: 1680 sq.ft. (156.08 sq.m.),3,3,3+,3.0,North-East,Relatively New,2217.0,1890.0,1680.0,0,0,0,0,1,1,174
flat,adani aangan galleria,sector 89,0.25,5000.0,500.0,Super Built up area 500(46.45 sq.m.)Built Up area: 430 sq.ft. (39.95 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),1,1,1,6.0,not available,New Property,500.0,430.0,410.0,0,0,0,0,0,0,74
house,independent,sector 14,3.5,18064.0,1937.502,Plot area 215(179.77 sq.m.)Built Up area: 214 sq.yards (178.93 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),6,4,2,2.0,West,Old Property,,214.0,180.0,1,0,0,0,0,0,27
flat,pareena mi casa,sector 68,0.92,7390.0,1245.0,Super Built up area 1245(115.66 sq.m.),2,2,3,5.0,West,Under Construction,1245.0,,,1,0,0,0,0,0,50
flat,dlf regency park,sector 28,1.35,11989.0,1126.0,Built Up area: 1109 (103.03 sq.m.),2,2,2,1.0,not available,Moderately Old,,1109.0,,0,0,0,0,0,1,0
house,independent,sector 17b,7.2,15926.0,4520.838,Plot area 420,4,4,2,1.0,not available,Old Property,,3780.0,,0,1,0,1,0,0,0
flat,experion windchants,sector 112,6.5,10417.0,6240.0,Built Up area: 4800 (445.93 sq.m.),4,5,3,11.0,South,Relatively New,,4800.0,,0,0,0,0,0,1,55
flat,mapsko mount ville,sector 79,1.1,12731.0,864.0,Super Built up area 1490(138.43 sq.m.)Carpet area: 863.91 sq.ft. (80.26 sq.m.),3,3,3,22.0,South-West,Relatively New,1490.0,,863.91,0,0,1,0,1,0,135
flat,sanskriti apartment,sector 10a,1.1,6667.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,2.0,not available,Moderately Old,,,1650.0,0,0,0,0,0,1,22
flat,umang winter hills,sector 77,1.1,5296.0,2077.0,Super Built up area 2077(192.96 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,9.0,North,Relatively New,2077.0,,1600.0,0,0,0,1,0,1,49
flat,sahara grace,sector 28,4.3,12421.0,3462.0,Super Built up area 3462.01(321.63 sq.m.),3,4,3,5.0,not available,Old Property,3462.01,,,0,1,0,1,0,1,24
flat,signature global park,sohna road,0.53,6386.0,830.0,Carpet area: 822 (76.37 sq.m.),2,2,2,2.0,North-East,Relatively New,,,822.0,0,0,1,0,0,1,168
