property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
house,independent,sector 28,9.0,27778.0,3239.9339,Plot area 360(301.01 sq.m.),6,7,3+,3.0,North,Moderately Old,,3240.0,,0,1,1,1,1,0,67
house,independent,sector 26,17.0,37627.0,4520.838,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively New,,4518.0,,0,1,1,1,1,0,124
flat,dlf the grove,sector 54,5.7,41245.0,1382.0,Built Up area: 1382 (128.39 sq.m.),3,3,3,1.0,East,Undefined,,1382.0,,0,0,0,0,0,1,46
house,independent,sector 26,19.0,42222.0,4499.3102,Plot area 500(418.06 sq.m.),6,8,3+,3.0,East,Moderately Old,,4500.0,,0,1,1,1,1,0,103
house,independent,sector 7,1.0,79365.0,1134.0,Plot area 126(11.71 sq.m.),2,2,0,0.0,not available,Old Property,,1134.0,,0,0,0,0,1,1,7
house,ansal sushant lok plots,sector 43,5.8,29974.0,1937.502,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,,1935.0,,1,0,0,1,0,0,49
house,independent,sector 50,11.58,35741.0,3239.9339,Plot area 360(301.01 sq.m.),5,5,3,2.0,not available,Moderately Old,,3240.0,,0,0,0,1,0,0,20
house,international city by sobha phase,sector 109,6.0,24691.0,2432.6414,Plot area 270(225.75 sq.m.),4,5,3+,2.0,North,Relatively New,,2430.0,,0,0,0,1,0,0,96
house,unitech espace,sector 50,7.42,34351.0,3200.0,Plot area 2160(200.67 sq.m.)Built Up area: 3200 sq.ft. (297.29 sq.m.),4,4,3,2.0,West,Old Property,,3200.0,,0,0,0,0,0,0,88
house,ss hibiscus,sector 50,12.5,40850.0,4230.2127,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3+,2.0,West,Relatively New,,410.0,340.0,0,0,0,1,1,2,160
flat,puri the aravallis,sector 61,3.9,33209.0,1174.0,Carpet area: 1249.65 (116.1 sq.m.),3,4,3+,33.0,South,Undefined,,,1249.68879,0,0,0,1,0,1,158
flat,ambience caitriona,sector 24,14.0,200000.0,700.0,Built Up area: 700 (65.03 sq.m.),4,5,3,3.0,East,Undefined,,700.0,,0,0,0,0,0,1,0
flat,dlf the icon,sector 43,6.0,26086.0,2300.0,Carpet area: 2300 (213.68 sq.m.),4,4,3+,18.0,North-East,Old Property,,,2300.0,0,0,0,1,0,0,150
house,independent,sector 43,7.85,29074.0,2701.7389,Plot area 300(250.84 sq.m.),9,9,3+,3.0,West,Relatively New,,2700.0,,1,0,1,1,1,2,49
house,unitech aspen greens,sector 50,6.8,31481.0,2163.5439,Plot area 240(200.67 sq.m.)Built Up area: 220 sq.yards (183.95 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,5,3,3.0,West,Old Property,,220.0,200.0,0,0,0,1,1,0,111
house,dlf city plots phase,sector 25,10.55,39074.0,2701.7389,Plot area 300(250.84 sq.m.),5,6,3+,3.0,East,Moderately Old,,2700.0,,0,1,1,1,1,1,131
house,suncity township,sector 54,25.0,31111.0,8998.6204,Plot area 1000(836.13 sq.m.),4,4,3+,2.0,North,Moderately Old,,9000.0,,0,1,1,1,1,0,0
house,vipul tatvam villa,sector 48,8.5,26235.0,3239.9339,Plot area 360(301.01 sq.m.),4,4,2,,East,Moderately Old,,3240.0,,0,1,1,1,0,1,88
house,dlf city plots phase,sector 25,15.5,34307.0,4520.838,Plot area 502(419.74 sq.m.),5,6,3+,3.0,East,Moderately Old,,4518.0,,0,1,1,1,1,1,144
house,emaar mgf marbella,sector 66,11.0,33951.0,3239.9339,Plot area 360(301.01 sq.m.),5,6,3+,2.0,North-East,New Property,,3240.0,,0,1,1,1,1,0,153
house,eros rosewood villas,sector 49,2.75,178571.0,150.69459999999998,Plot area 154(14.31 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,1,2.0,North-West,Old Property,,,1650.0,1,0,0,0,0,0,80
house,unitech south city,sector 50,5.88,27222.0,2163.5439,Plot area 240(200.67 sq.m.),9,9,3+,3.0,East,Relatively New,,2160.0,,1,0,1,1,1,2,128
house,independent,sector 43,2.5,25960.0,957.9870999999999,Plot area 107(89.47 sq.m.),7,7,3,4.0,West,Relatively New,,963.0,,1,0,0,0,0,2,20
house,dlf city plots phase,sector 25,10.75,29861.0,3595.1425999999997,Plot area 400(334.45 sq.m.),9,9,3+,3.0,South-West,Old Property,,3600.0,,0,1,1,1,0,1,73
house,independent,sector 40,9.5,40135.0,2368.058,Plot area 263(219.9 sq.m.),12,12,3+,4.0,not available,New Property,,2367.0,,0,1,0,0,0,0,57
house,dlf city phase,sector 26,3.25,33129.0,979.5149,Plot area 109(91.14 sq.m.),3,3,3,2.0,West,Old Property,,981.0,,0,0,0,0,1,1,79
house,independent,sector 43,5.25,27132.0,1937.502,Plot area 215(179.77 sq.m.),4,4,2,2.0,not available,Old Property,,1935.0,,0,0,0,1,1,0,80
house,independent,sector 25,16.0,59259.0,3153.8226999999997,Plot area 350(292.64 sq.m.)Built Up area: 325 sq.yards (271.74 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),16,16,3+,4.0,West,New Property,,325.0,300.0,0,1,1,1,1,2,72
flat,dlf the crest,sector 54,11.0,35483.0,3100.0,Carpet area: 3100 (288 sq.m.),4,5,3+,7.0,North-East,Relatively New,,,3100.0,0,0,1,1,1,1,49
house,independent,sector 70a,2.1,35000.0,602.7783999999999,Carpet area: 600 (55.74 sq.m.),3,2,1,3.0,not available,New Property,,,600.0,0,0,0,0,0,1,0
flat,dlf park place,sector 54,4.85,30180.0,1785.0,Super Built up area 1983(184.23 sq.m.)Built Up area: 1785 sq.ft. (165.83 sq.m.)Carpet area: 1607 sq.ft. (149.3 sq.m.),3,4,3+,6.0,North,Moderately Old,1983.0,1785.0,1607.0,0,0,0,1,0,2,158
house,international city by sobha phase,sector 109,6.0,24691.0,2432.6414,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,Relatively New,,2430.0,,0,1,1,1,1,0,160
house,rk excelo,sector 12,0.6,120000.0,53.8195,Plot area 50(4.65 sq.m.)Built Up area: 30 sq.ft. (2.79 sq.m.)Carpet area: 15 sq.ft. (1.39 sq.m.),5,3,2,3.0,North,Moderately Old,,30.0,15.0,1,0,0,0,0,0,0
house,dlf city plots phase,sector 25,4.25,31481.0,1345.4875,Plot area 150(125.42 sq.m.),3,2,3,2.0,North,Old Property,,1350.0,,0,0,0,0,1,0,35
house,independent,sector 28,12.0,42194.0,2841.6695999999997,Plot area 316(264.22 sq.m.),4,5,3+,4.0,East,Relatively New,,2844.0,,0,1,1,1,0,0,60
house,dlf alameda,sector 73,17.0,35109.0,9000.0,Plot area 4842(449.84 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),5,8,3,3.0,North-West,Relatively New,,9000.0,,0,1,1,1,1,2,87
house,independent,sector 43,15.5,28233.0,5489.589,Plot area 610(510.04 sq.m.),5,6,3,3.0,East,Moderately Old,,5490.0,,0,1,1,1,1,1,76
house,independent,sector 25,10.85,38150.0,2841.6695999999997,Plot area 316(264.22 sq.m.),6,6,1,3.0,North-East,Relatively New,,2844.0,,0,1,0,0,0,0,136
house,arjun marg/ sector- phase- / golf course road,sector 26,31.5,35000.0,8998.6204,Plot area 1000(836.13 sq.m.),7,9,3+,3.0,North-East,Moderately Old,,9000.0,,0,1,1,1,1,2,74
house,independent,sector 13,9.0,100000.0,8100.0,Plot area 900(83.61 sq.m.),10,5,3+,4.0,not available,Old Property,,8100.0,,0,0,0,0,0,1,0
house,unitech escape,sector 50,10.8,60000.0,2604.8638,Plot area 290(242.48 sq.m.)Built Up area: 250 sq.yards (209.03 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),4,4,3,2.0,North,Relatively New,,250.0,200.0,0,1,1,1,1,0,103
house,independent,sector 27,8.0,26298.0,3046.1837,Plot area 338(282.61 sq.m.),9,9,3,4.0,North-East,Relatively New,,3042.0,,0,1,1,1,1,2,110
house,independent,sector 23,2.8,161849.0,172.2224,Plot area 173(16.07 sq.m.)Built Up area: 160 sq.ft. (14.86 sq.m.)Carpet area: 150 sq.ft. (13.94 sq.m.),5,5,3+,2.0,North-East,Old Property,,160.0,150.0,0,0,1,0,0,0,74
